Year,State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2003,4,4000,Arizona,5643394,783005,736508,829502,"736,508 to 829,502",13.9,13.1,14.7,13.1 to 14.7,1539917,316973,290274,343672,"290,274 to 343,672",20.6,18.8,22.3,18.8 to 22.3,1074882,213295,192439,234151,"192,439 to 234,151",19.8,17.9,21.8,17.9 to 21.8,440100,92147,75773,108522,"75,773 to 108,522",20.9,17.2,24.7,17.2 to 24.7,41963,40557,43368,"$40,557 to $43,368"
2002,4,4000,Arizona,5485046,746145,700483,791807,"700,483 to 791,807",13.6,12.8,14.4,12.8 to 14.4,1506179,302013,275180,328847,"275,180 to 328,847",20.1,18.3,21.8,18.3 to 21.8,1064663,197535,175290,219780,"175,290 to 219,780",18.6,16.5,20.6,16.5 to 20.6,422799,94589,79767,109411,"79,767 to 109,411",22.4,18.9,25.9,18.9 to 25.9,40724,39014,42434,"$39,014 to $42,434"
2001,4,4000,Arizona,5342423,703143,661009,745277,"661,009 to 745,277",13.2,12.4,14,12.4 to 14.0,1472911,280198,250418,309978,"250,418 to 309,978",19,17,21,17.0 to 21.0,1023251,182501,157242,207760,"157,242 to 207,760",17.8,15.4,20.3,15.4 to 20.3,419094,85645,72503,98787,"72,503 to 98,787",20.4,17.3,23.6,17.3 to 23.6,41403,39943,42864,"$39,943 to $42,864"
2000,4,4000,Arizona,5194502,646762,607154,686370,"607,154 to 686,370",12.5,11.7,13.2,11.7 to 13.2,1413775,263677,240454,286900,"240,454 to 286,900",18.7,17,20.3,17.0 to 20.3,981986,179647,159905,199389,"159,905 to 199,389",18.3,16.3,20.3,16.3 to 20.3,400347,73834,61484,86184,"61,484 to 86,184",18.4,15.4,21.5,15.4 to 21.5,40437,38655,42219,"$38,655 to $42,219"
1999,4,4000,Arizona,5027482,643045,595693,690397,"595,693 to 690,397",12.8,11.8,13.7,11.8 to 13.7,1338513,251160,217690,284631,"217,690 to 284,631",18.8,16.3,21.3,16.3 to 21.3,929755,160987,130985,190989,"130,985 to 190,989",17.3,14.1,20.5,14.1 to 20.5,377011,76016,60366,91666,"60,366 to 91,666",20.2,16,24.3,16.0 to 24.3,38642,37345,39939,"$37,345 to $39,939"
1998,4,4000,Arizona,4764511,710652,664872,756432,"664,872 to 756,432",14.9,14,15.9,14.0 to 15.9,1354868,306865,274944,338786,"274,944 to 338,786",22.6,20.3,25,20.3 to 25.0,920388,197568,170735,224401,"170,735 to 224,401",21.5,18.6,24.4,18.6 to 24.4,395926,98350,82034,114667,"82,034 to 114,667",24.8,20.7,29,20.7 to 29.0,37281,35629,38933,"$35,629 to $38,933"
1997,4,4000,Arizona,NA,720713,674657,766769,"674,657 to 766,769",15.5,14.5,16.5,14.5 to 16.5,NA,305109,278711,331507,"278,711 to 331,507",23.2,21.2,25.2,21.2 to 25.2,NA,197966,176266,219666,"176,266 to 219,666",22.1,19.6,24.5,19.6 to 24.5,NA,97091,82613,111569,"82,613 to 111,569",25.1,21.3,28.8,21.3 to 28.8,34751,33067,36436,"$33,067 to $36,436"
1996,4,4000,Arizona,NA,741878,695813,787942,"695,813 to 787,942",16.3,15.3,17.3,15.3 to 17.3,NA,308224,280112,336335,"280,112 to 336,335",24.5,22.2,26.7,22.2 to 26.7,NA,193204,168808,217600,"168,808 to 217,600",23,20.1,25.9,20.1 to 25.9,NA,104090,90769,117410,"90,769 to 117,410",28.2,24.6,31.8,24.6 to 31.8,32708,30973,34442,"$30,973 to $34,442"
1995,4,4000,Arizona,NA,722660,695614,749707,"695,614 to 749,707",16.3,15.7,16.9,15.7 to 16.9,NA,309584,290968,328200,"290,968 to 328,200",24.7,23.2,26.1,23.2 to 26.1,NA,187989,176382,199596,"176,382 to 199,596",22.1,20.7,23.5,20.7 to 23.5,NA,111880,97251,126508,"97,251 to 126,508",29.8,25.9,33.7,25.9 to 33.7,31736,30299,33173,"$30,299 to $33,173"
1993,4,4000,Arizona,NA,757556,718443,796669,"718,443 to 796,669",18.5,17.6,19.5,17.6 to 19.5,NA,321595,301840,341350,"301,840 to 341,350",28,26.3,29.7,26.3 to 29.7,NA,195024,179791,210257,"179,791 to 210,257",25,23,27,23.0 to 27.0,NA,116670,107364,125976,"107,364 to 125,976",33,30.3,35.6,30.3 to 35.6,28427,27098,29756,"$27,098 to $29,756"
1989,4,4000,Arizona,NA,535462,513276,557648,"513,276 to 557,648",14.7,14.1,15.3,14.1 to 15.3,NA,230093,215633,244553,"215,633 to 244,553",23.3,21.9,24.8,21.9 to 24.8,NA,145192,133183,157201,"133,183 to 157,201",21.5,19.7,23.3,19.7 to 23.3,NA,71814,63286,80342,"63,286 to 80,342",24,21.1,26.8,21.1 to 26.8,28924,27781,30067,"$27,781 to $30,067"
2016,5,5000,Arkansas,2898653,497388,485180,509596,"485,180 to 509,596",17.2,16.8,17.6,16.8 to 17.6,691387,165724,158736,172712,"158,736 to 172,712",24,23,25,23.0 to 25.0,503758,112376,106203,118549,"106,203 to 118,549",22.3,21.1,23.5,21.1 to 23.5,184115,50341,47095,53587,"47,095 to 53,587",27.3,25.5,29.1,25.5 to 29.1,44406,43530,45282,"$43,530 to $45,282"
2015,5,5000,Arkansas,2887336,540733,528756,552710,"528,756 to 552,710",18.7,18.3,19.1,18.3 to 19.1,689149,182238,175853,188623,"175,853 to 188,623",26.4,25.5,27.3,25.5 to 27.3,499504,122440,116955,127925,"116,955 to 127,925",24.5,23.4,25.6,23.4 to 25.6,184460,56199,53157,59241,"53,157 to 59,241",30.5,28.9,32.1,28.9 to 32.1,42046,41574,42518,"$41,574 to $42,518"
2014,5,5000,Arkansas,2882846,539999,528604,551394,"528,604 to 551,394",18.7,18.3,19.1,18.3 to 19.1,696524,183334,177391,189277,"177,391 to 189,277",26.3,25.4,27.2,25.4 to 27.2,503980,123704,118685,128723,"118,685 to 128,723",24.5,23.5,25.5,23.5 to 25.5,187807,55833,52857,58809,"52,857 to 58,809",29.7,28.1,31.3,28.1 to 31.3,41335,40702,41968,"$40,702 to $41,968"
2013,5,5000,Arkansas,2873346,557399,545273,569525,"545,273 to 569,525",19.4,19,19.8,19.0 to 19.8,695853,197129,190244,204014,"190,244 to 204,014",28.3,27.3,29.3,27.3 to 29.3,504165,132920,126907,138933,"126,907 to 138,933",26.4,25.2,27.6,25.2 to 27.6,187591,60285,56772,63798,"56,772 to 63,798",32.1,30.2,34,30.2 to 34.0,40605,39921,41289,"$39,921 to $41,289"
2012,5,5000,Arkansas,2865097,560928,549034,572822,"549,034 to 572,822",19.6,19.2,20,19.2 to 20.0,698828,196464,190326,202602,"190,326 to 202,602",28.1,27.2,29,27.2 to 29.0,505053,133507,128213,138801,"128,213 to 138,801",26.4,25.4,27.4,25.4 to 27.4,189313,59482,56503,62461,"56,503 to 62,461",31.4,29.8,33,29.8 to 33.0,40151,39666,40636,"$39,666 to $40,636"
2011,5,5000,Arkansas,2856679,550079,538191,561967,"538,191 to 561,967",19.3,18.9,19.7,18.9 to 19.7,698684,194242,187760,200724,"187,760 to 200,724",27.8,26.9,28.7,26.9 to 28.7,502600,128194,122698,133690,"122,698 to 133,690",25.5,24.4,26.6,24.4 to 26.6,192431,62668,59124,66212,"59,124 to 66,212",32.6,30.8,34.4,30.8 to 34.4,38889,38167,39611,"$38,167 to $39,611"
2010,5,5000,Arkansas,2839786,529710,518451,540969,"518,451 to 540,969",18.7,18.3,19.1,18.3 to 19.1,698899,190538,184070,197006,"184,070 to 197,006",27.3,26.4,28.2,26.4 to 28.2,500901,124638,118946,130330,"118,946 to 130,330",24.9,23.8,26,23.8 to 26.0,193428,61985,58970,65000,"58,970 to 65,000",32,30.4,33.6,30.4 to 33.6,38413,37806,39020,"$37,806 to $39,020"
2009,5,5000,Arkansas,2806037,519026,506813,531240,"506,813 to 531,240",18.5,18.1,18.9,18.1 to 18.9,697712,185268,178772,191764,"178,772 to 191,764",26.6,25.6,27.5,25.6 to 27.5,494356,120867,115349,126385,"115,349 to 126,385",24.4,23.3,25.6,23.3 to 25.6,200462,61707,58339,65076,"58,339 to 65,076",30.8,29.1,32.5,29.1 to 32.5,37888,37289,38487,"$37,289 to $38,487"
2008,5,5000,Arkansas,2774138,479140,467571,490708,"467,571 to 490,708",17.3,16.9,17.7,16.9 to 17.7,690520,170833,164665,177000,"164,665 to 177,000",24.7,23.8,25.6,23.8 to 25.6,489393,109650,104263,115037,"104,263 to 115,037",22.4,21.3,23.5,21.3 to 23.5,196625,58087,55061,61114,"55,061 to 61,114",29.5,28,31.1,28.0 to 31.1,38820,38139,39502,"$38,139 to $39,502"
2007,5,5000,Arkansas,2753934,483510,473442,493579,"473,442 to 493,579",17.6,17.2,17.9,17.2 to 17.9,688511,173939,168262,179616,"168,262 to 179,616",25.3,24.4,26.1,24.4 to 26.1,489132,113370,108283,118457,"108,283 to 118,457",23.2,22.1,24.2,22.1 to 24.2,195380,56804,54263,59344,"54,263 to 59,344",29.1,27.8,30.4,27.8 to 30.4,38239,37548,38929,"$37,548 to $38,929"
2006,5,5000,Arkansas,2729099,471161,461380,480941,"461,380 to 480,941",17.3,16.9,17.6,16.9 to 17.6,676779,166630,161218,172041,"161,218 to 172,041",24.6,23.8,25.4,23.8 to 25.4,482566,106787,101922,111652,"101,922 to 111,652",22.1,21.1,23.1,21.1 to 23.1,188120,55174,52655,57693,"52,655 to 57,693",29.3,28,30.7,28.0 to 30.7,36627,36155,37100,"$36,155 to $37,100"
2005,5,5000,Arkansas,2690032,461758,451804,471711,"451,804 to 471,711",17.2,16.8,17.5,16.8 to 17.5,660819,165059,159639,170479,"159,639 to 170,479",25,24.2,25.8,24.2 to 25.8,472090,108273,103719,112827,"103,719 to 112,827",22.9,22,23.9,22.0 to 23.9,184021,52542,49764,55320,"49,764 to 55,320",28.6,27,30.1,27.0 to 30.1,35041,34476,35606,"$34,476 to $35,606"
2004,5,5000,Arkansas,2720895,424576,397276,451876,"397,276 to 451,876",15.6,14.6,16.6,14.6 to 16.6,674449,153124,140227,166022,"140,227 to 166,022",22.7,20.8,24.6,20.8 to 24.6,477311,95393,84071,106715,"84,071 to 106,715",20,17.6,22.4,17.6 to 22.4,184963,51948,45964,57933,"45,964 to 57,933",28.1,24.9,31.3,24.9 to 31.3,35295,33830,36759,"$33,830 to $36,759"
2003,5,5000,Arkansas,2693460,432240,410707,453774,"410,707 to 453,774",16,15.2,16.8,15.2 to 16.8,675286,159182,148470,169893,"148,470 to 169,893",23.6,22,25.2,22.0 to 25.2,483973,105100,96920,113280,"96,920 to 113,280",21.7,20,23.4,20.0 to 23.4,181812,49523,42786,56260,"42,786 to 56,260",27.2,23.5,30.9,23.5 to 30.9,33445,31994,34895,"$31,994 to $34,895"
2002,5,5000,Arkansas,2672831,435986,413109,458863,"413,109 to 458,863",16.3,15.5,17.2,15.5 to 17.2,682146,159180,147164,171196,"147,164 to 171,196",23.3,21.6,25.1,21.6 to 25.1,492610,100511,90447,110575,"90,447 to 110,575",20.4,18.4,22.4,18.4 to 22.4,184903,54361,47627,61094,"47,627 to 61,094",29.4,25.8,33,25.8 to 33.0,32819,31135,34502,"$31,135 to $34,502"
2001,5,5000,Arkansas,2638565,419048,398520,439576,"398,520 to 439,576",15.9,15.1,16.7,15.1 to 16.7,672530,159142,145554,172730,"145,554 to 172,730",23.7,21.6,25.7,21.6 to 25.7,480967,101607,89693,113521,"89,693 to 113,521",21.1,18.6,23.6,18.6 to 23.6,180426,50750,45459,56041,"45,459 to 56,041",28.1,25.2,31.1,25.2 to 31.1,32864,31396,34331,"$31,396 to $34,331"
2000,5,5000,Arkansas,2634478,394960,374787,415134,"374,787 to 415,134",15,14.2,15.8,14.2 to 15.8,676862,147308,136398,158218,"136,398 to 158,218",21.8,20.2,23.4,20.2 to 23.4,492453,93501,84161,102841,"84,161 to 102,841",19,17.1,20.9,17.1 to 20.9,182876,48366,42701,54030,"42,701 to 54,030",26.4,23.3,29.5,23.3 to 29.5,31496,29698,33295,"$29,698 to $33,295"
1999,5,5000,Arkansas,2617823,395852,369718,421987,"369,718 to 421,987",15.1,14.1,16.1,14.1 to 16.1,672733,146820,128998,164642,"128,998 to 164,642",21.8,19.2,24.5,19.2 to 24.5,484875,94015,78585,109445,"78,585 to 109,445",19.4,16.2,22.6,16.2 to 22.6,179878,47626,39357,55895,"39,357 to 55,895",26.5,21.9,31.1,21.9 to 31.1,31217,29848,32586,"$29,848 to $32,586"
1998,5,5000,Arkansas,2544944,417961,390240,445681,"390,240 to 445,681",16.4,15.3,17.5,15.3 to 17.5,668749,156989,137955,176024,"137,955 to 176,024",23.5,20.6,26.3,20.6 to 26.3,483195,97973,80845,115101,"80,845 to 115,101",20.3,16.7,23.8,16.7 to 23.8,179596,53898,45535,62261,"45,535 to 62,261",30,25.4,34.7,25.4 to 34.7,29212,27505,30920,"$27,505 to $30,920"
1997,5,5000,Arkansas,NA,442856,415565,470147,"415,565 to 470,147",17.5,16.4,18.6,16.4 to 18.6,NA,169089,154519,183658,"154,519 to 183,658",25,22.8,27.2,22.8 to 27.2,NA,110565,98250,122880,"98,250 to 122,880",22.7,20.2,25.2,20.2 to 25.2,NA,52253,44804,59701,"44,804 to 59,701",28.8,24.7,32.9,24.7 to 32.9,27875,26234,29515,"$26,234 to $29,515"
1996,5,5000,Arkansas,NA,442445,417017,467872,"417,017 to 467,872",17.6,16.6,18.6,16.6 to 18.6,NA,172520,157954,187085,"157,954 to 187,085",25.7,23.5,27.8,23.5 to 27.8,NA,109341,95920,122762,"95,920 to 122,762",22.8,20,25.6,20.0 to 25.6,NA,56848,49994,63701,"49,994 to 63,701",31.4,27.6,35.2,27.6 to 35.2,27367,25683,29050,"$25,683 to $29,050"
1995,5,5000,Arkansas,NA,455776,435451,476100,"435,451 to 476,100",18.2,17.4,19.1,17.4 to 19.1,NA,182607,174198,191016,"174,198 to 191,016",27,25.7,28.2,25.7 to 28.2,NA,119221,110282,128160,"110,282 to 128,160",24.6,22.8,26.5,22.8 to 26.5,NA,60099,52447,67751,"52,447 to 67,751",32.8,28.7,37,28.7 to 37.0,26515,25109,27921,"$25,109 to $27,921"
1993,5,5000,Arkansas,NA,461948,437390,486506,"437,390 to 486,506",18.9,17.9,19.9,17.9 to 19.9,NA,170943,157915,183971,"157,915 to 183,971",26,24,28,24.0 to 28.0,NA,109670,98913,120427,"98,913 to 120,427",23.4,21.1,25.7,21.1 to 25.7,NA,55805,50482,61128,"50,482 to 61,128",31.3,28.3,34.3,28.3 to 34.3,24019,22830,25208,"$22,830 to $25,208"
1989,5,5000,Arkansas,NA,417155,400858,433452,"400,858 to 433,452",17.9,17.2,18.6,17.2 to 18.6,NA,153544,143880,163208,"143,880 to 163,208",24.4,22.9,25.9,22.9 to 25.9,NA,100652,92314,108990,"92,314 to 108,990",22.3,20.4,24.1,20.4 to 24.1,NA,46914,41882,51946,"41,882 to 51,946",27.6,24.7,30.6,24.7 to 30.6,20729,19604,21854,"$19,604 to $21,854"
2016,6,6000,California,38513333,5527621,5475835,5579407,"5,475,835 to 5,579,407",14.4,14.3,14.5,14.3 to 14.5,8959115,1782764,1754881,1810647,"1,754,881 to 1,810,647",19.9,19.6,20.2,19.6 to 20.2,6487993,1242780,1218049,1267511,"1,218,049 to 1,267,511",19.2,18.8,19.6,18.8 to 19.6,2430975,502432,489415,515449,"489,415 to 515,449",20.7,20.2,21.2,20.2 to 21.2,67715,67361,68069,"$67,361 to $68,069"
2015,6,6000,California,38398077,5896255,5844717,5947793,"5,844,717 to 5,947,793",15.4,15.3,15.5,15.3 to 15.5,8982601,1901985,1875284,1928686,"1,875,284 to 1,928,686",21.2,20.9,21.5,20.9 to 21.5,6483995,1315288,1291425,1339151,"1,291,425 to 1,339,151",20.3,19.9,20.7,19.9 to 20.7,2457486,547759,535757,559761,"535,757 to 559,761",22.3,21.8,22.8,21.8 to 22.8,64483,64091,64875,"$64,091 to $64,875"
2014,6,6000,California,38060226,6253423,6203456,6303390,"6,203,456 to 6,303,390",16.4,16.3,16.5,16.3 to 16.5,9017054,2040811,2011678,2069944,"2,011,678 to 2,069,944",22.6,22.3,22.9,22.3 to 22.9,6511235,1424469,1398503,1450435,"1,398,503 to 1,450,435",21.9,21.5,22.3,21.5 to 22.3,2462741,575759,562058,589460,"562,058 to 589,460",23.4,22.8,24,22.8 to 24.0,61927,61689,62165,"$61,689 to $62,165"
2013,6,6000,California,37593095,6328064,6276939,6379189,"6,276,939 to 6,379,189",16.8,16.7,16.9,16.7 to 16.9,9030489,2119056,2090844,2147268,"2,090,844 to 2,147,268",23.5,23.2,23.8,23.2 to 23.8,6533698,1468727,1443932,1493522,"1,443,932 to 1,493,522",22.5,22.1,22.9,22.1 to 22.9,2452063,607880,594445,621315,"594,445 to 621,315",24.8,24.3,25.3,24.3 to 25.3,60185,59931,60439,"$59,931 to $60,439"
2012,6,6000,California,37303312,6323433,6274914,6371952,"6,274,914 to 6,371,952",17,16.9,17.1,16.9 to 17.1,9103796,2164589,2135262,2193916,"2,135,262 to 2,193,916",23.8,23.5,24.1,23.5 to 24.1,6571820,1499768,1474007,1525529,"1,474,007 to 1,525,529",22.8,22.4,23.2,22.4 to 23.2,2490209,625906,612806,639006,"612,806 to 639,006",25.1,24.6,25.6,24.6 to 25.6,58322,57972,58672,"$57,972 to $58,672"
2011,6,6000,California,36941941,6121726,6065691,6177761,"6,065,691 to 6,177,761",16.6,16.4,16.8,16.4 to 16.8,9128102,2085226,2055547,2114905,"2,055,547 to 2,114,905",22.8,22.5,23.1,22.5 to 23.1,6598903,1431148,1404413,1457883,"1,404,413 to 1,457,883",21.7,21.3,22.1,21.3 to 22.1,2486458,614837,601173,628501,"601,173 to 628,501",24.7,24.2,25.2,24.2 to 25.2,57275,56997,57553,"$56,997 to $57,553"
2010,6,6000,California,36593422,5785036,5732381,5837691,"5,732,381 to 5,837,691",15.8,15.7,15.9,15.7 to 15.9,9156662,2012723,1979594,2045852,"1,979,594 to 2,045,852",22,21.6,22.4,21.6 to 22.4,6634166,1382859,1353694,1412024,"1,353,694 to 1,412,024",20.8,20.4,21.2,20.4 to 21.2,2476334,588090,573739,602441,"573,739 to 602,441",23.7,23.1,24.3,23.1 to 24.3,57664,57316,58012,"$57,316 to $58,012"
2009,6,6000,California,36202910,5132640,5084687,5180592,"5,084,687 to 5,180,592",14.2,14,14.3,14.0 to 14.3,9277571,1846994,1818538,1875449,"1,818,538 to 1,875,449",19.9,19.6,20.2,19.6 to 20.2,6542172,1214400,1189918,1238882,"1,189,918 to 1,238,882",18.6,18.2,18.9,18.2 to 18.9,2694275,594576,580849,608303,"580,849 to 608,303",22.1,21.6,22.6,21.6 to 22.6,58925,58654,59196,"$58,654 to $59,196"
2008,6,6000,California,35984453,4781201,4725709,4836693,"4,725,709 to 4,836,693",13.3,13.1,13.4,13.1 to 13.4,9218658,1702065,1671766,1732364,"1,671,766 to 1,732,364",18.5,18.1,18.8,18.1 to 18.8,6527631,1128080,1101757,1154403,"1,101,757 to 1,154,403",17.3,16.9,17.7,16.9 to 17.7,2647579,534254,518237,550270,"518,237 to 550,270",20.2,19.6,20.8,19.6 to 20.8,61017,60782,61251,"$60,782 to $61,251"
2007,6,6000,California,35768034,4445392,4399379,4491405,"4,399,379 to 4,491,405",12.4,12.3,12.6,12.3 to 12.6,9222770,1598466,1569345,1627586,"1,569,345 to 1,627,586",17.3,17,17.6,17.0 to 17.6,6566539,1062605,1037570,1087640,"1,037,570 to 1,087,640",16.2,15.8,16.6,15.8 to 16.6,2605554,490575,476220,504931,"476,220 to 504,931",18.8,18.3,19.4,18.3 to 19.4,59928,59636,60220,"$59,636 to $60,220"
2006,6,6000,California,35675333,4686706,4635529,4737883,"4,635,529 to 4,737,883",13.1,13,13.3,13.0 to 13.3,9378637,1693631,1662924,1724337,"1,662,924 to 1,724,337",18.1,17.7,18.4,17.7 to 18.4,6697291,1146351,1118784,1173918,"1,118,784 to 1,173,918",17.1,16.7,17.5,16.7 to 17.5,2632244,503635,490269,517001,"490,269 to 517,001",19.1,18.6,19.6,18.6 to 19.6,56646,56412,56880,"$56,412 to $56,880"
2005,6,6000,California,35121556,4669056,4608110,4730003,"4,608,110 to 4,730,003",13.3,13.1,13.5,13.1 to 13.5,9498237,1761755,1722836,1800674,"1,722,836 to 1,800,674",18.5,18.1,19,18.1 to 19.0,6809675,1197835,1163347,1232323,"1,163,347 to 1,232,323",17.6,17.1,18.1,17.1 to 18.1,2636473,519125,502277,535974,"502,277 to 535,974",19.7,19.1,20.3,19.1 to 20.3,53627,53309,53944,"$53,309 to $53,944"
2004,6,6000,California,35468826,4681645,4463645,4899644,"4,463,645 to 4,899,644",13.2,12.6,13.8,12.6 to 13.8,9667379,1809423,1686330,1932515,"1,686,330 to 1,932,515",18.7,17.4,20,17.4 to 20.0,6906485,1225762,1119872,1331652,"1,119,872 to 1,331,652",17.7,16.2,19.3,16.2 to 19.3,2657941,540606,480804,600408,"480,804 to 600,408",20.3,18.1,22.6,18.1 to 22.6,49894,48617,51172,"$48,617 to $51,172"
2003,6,6000,California,35219959,4836106,4639930,5032283,"4,639,930 to 5,032,283",13.7,13.2,14.3,13.2 to 14.3,9554368,1866535,1757471,1975599,"1,757,471 to 1,975,599",19.5,18.4,20.7,18.4 to 20.7,6844459,1288493,1198809,1378177,"1,198,809 to 1,378,177",18.8,17.5,20.1,17.5 to 20.1,2599063,520311,461424,579197,"461,424 to 579,197",20,17.8,22.3,17.8 to 22.3,48440,47147,49734,"$47,147 to $49,734"
2002,6,6000,California,34866022,4646661,4459058,4834265,"4,459,058 to 4,834,265",13.3,12.8,13.9,12.8 to 13.9,9369331,1795674,1688257,1903092,"1,688,257 to 1,903,092",19.2,18,20.3,18.0 to 20.3,6704201,1235108,1144445,1325771,"1,144,445 to 1,325,771",18.4,17.1,19.8,17.1 to 19.8,2533561,501845,445885,557805,"445,885 to 557,805",19.8,17.6,22,17.6 to 22.0,47323,46067,48578,"$46,067 to $48,578"
2001,6,6000,California,34262724,4418040,4236931,4599149,"4,236,931 to 4,599,149",12.9,12.4,13.4,12.4 to 13.4,9260899,1632189,1511576,1752801,"1,511,576 to 1,752,801",17.6,16.3,18.9,16.3 to 18.9,6643954,1089969,981086,1198852,"981,086 to 1,198,852",16.4,14.8,18,14.8 to 18.0,2479109,480211,431608,528814,"431,608 to 528,814",19.4,17.4,21.3,17.4 to 21.3,47064,45895,48233,"$45,895 to $48,233"
2000,6,6000,California,33846211,4304909,4133942,4475877,"4,133,942 to 4,475,877",12.7,12.2,13.2,12.2 to 13.2,9229783,1711407,1610781,1812034,"1,610,781 to 1,812,034",18.5,17.5,19.6,17.5 to 19.6,6634492,1173218,1085985,1260451,"1,085,985 to 1,260,451",17.7,16.4,19,16.4 to 19.0,2484201,482766,433108,532425,"433,108 to 532,425",19.4,17.4,21.4,17.4 to 21.4,46836,45541,48131,"$45,541 to $48,131"
1999,6,6000,California,33284948,4562089,4349021,4775157,"4,349,021 to 4,775,157",13.7,13.1,14.3,13.1 to 14.3,9160864,1854292,1712818,1995766,"1,712,818 to 1,995,766",20.2,18.7,21.8,18.7 to 21.8,6625284,1274716,1148688,1400744,"1,148,688 to 1,400,744",19.2,17.3,21.1,17.3 to 21.1,2444897,527571,464391,590751,"464,391 to 590,751",21.6,19,24.2,19.0 to 24.2,43924,42814,45035,"$42,814 to $45,035"
1998,6,6000,California,32955150,4917053,4685194,5148912,"4,685,194 to 5,148,912",14.9,14.2,15.6,14.2 to 15.6,9073297,2064698,1914647,2214750,"1,914,647 to 2,214,750",22.8,21.1,24.4,21.1 to 24.4,6412059,1395571,1263614,1527528,"1,263,614 to 1,527,528",21.8,19.7,23.8,19.7 to 23.8,2553749,609994,538996,680992,"538,996 to 680,992",23.9,21.1,26.7,21.1 to 26.7,41003,39843,42163,"$39,843 to $42,163"
1997,6,6000,California,NA,5195477,4952789,5438166,"4,952,789 to 5,438,166",16,15.3,16.8,15.3 to 16.8,NA,2223674,2070558,2376791,"2,070,558 to 2,376,791",24.6,22.9,26.3,22.9 to 26.3,NA,1487239,1355152,1619326,"1,355,152 to 1,619,326",23.6,21.5,25.7,21.5 to 25.7,NA,679921,604013,755829,"604,013 to 755,829",26,23.1,28.9,23.1 to 28.9,39595,38486,40705,"$38,486 to $40,705"
1996,6,6000,California,NA,5343610,5102400,5584819,"5,102,400 to 5,584,819",16.7,15.9,17.4,15.9 to 17.4,NA,2295241,2141609,2448873,"2,141,609 to 2,448,873",25.3,23.6,27,23.6 to 27.0,NA,1472751,1339159,1606343,"1,339,159 to 1,606,343",23.6,21.5,25.8,21.5 to 25.8,NA,758100,679747,836453,"679,747 to 836,453",28,25.1,30.9,25.1 to 30.9,38691,37547,39835,"$37,547 to $39,835"
1995,6,6000,California,NA,5215575,4918259,5512892,"4,918,259 to 5,512,892",16.5,15.5,17.4,15.5 to 17.4,NA,2214535,2110570,2318501,"2,110,570 to 2,318,501",24.3,23.2,25.5,23.2 to 25.5,NA,1363763,1242581,1484945,"1,242,581 to 1,484,945",22.2,20.2,24.2,20.2 to 24.2,NA,771354,686935,855773,"686,935 to 855,773",27.4,24.4,30.4,24.4 to 30.4,36767,35710,37824,"$35,710 to $37,824"
1993,6,6000,California,NA,5428276,5137455,5719097,"5,137,455 to 5,719,097",17.4,16.4,18.3,16.4 to 18.3,NA,2331091,2136244,2525938,"2,136,244 to 2,525,938",26.4,24.2,28.6,24.2 to 28.6,NA,1381833,1226828,1536838,"1,226,828 to 1,536,838",23.8,21.2,26.5,21.2 to 26.5,NA,849157,729342,968972,"729,342 to 968,972",29.2,25.1,33.4,25.1 to 33.4,34128,33115,35141,"$33,115 to $35,141"
1989,6,6000,California,NA,3749256,3497041,4001471,"3,497,041 to 4,001,471",12.7,11.9,13.6,11.9 to 13.6,NA,1652744,1492304,1813184,"1,492,304 to 1,813,184",21.3,19.3,23.4,19.3 to 23.4,NA,977928,841441,1114415,"841,441 to 1,114,415",18.7,16.1,21.3,16.1 to 21.3,NA,554750,479774,629726,"479,774 to 629,726",22.9,19.8,25.9,19.8 to 25.9,33474,32596,34352,"$32,596 to $34,352"
